condition,feature,feature_group
N2,order_mean_pos_Evidence,order
N2,order_mean_pos_Lead,order
N2,order_mean_pos_Position,order
N2,order_mean_pos_Rebuttal,order
N2,order_std_pos_Claim,order
N2,order_std_pos_Concluding_Statement,order
N2,order_std_pos_Counterclaim,order
N2,order_std_pos_Evidence,order
N2,order_std_pos_Lead,order
N2,order_std_pos_Position,order
N2,order_std_pos_Rebuttal,order
N2,order_trans_Claim__Claim,order
N2,order_trans_Claim__Concluding_Statement,order
N2,order_trans_Claim__Counterclaim,order
N2,order_trans_Claim__Evidence,order
N2,order_trans_Claim__Lead,order
N2,order_trans_Claim__Position,order
N2,order_trans_Claim__Rebuttal,order
N2,order_trans_Concluding_Statement__Claim,order
N2,order_trans_Concluding_Statement__Concluding_Statement,order
N2,order_trans_Concluding_Statement__Counterclaim,order
N2,order_trans_Concluding_Statement__Evidence,order
N2,order_trans_Concluding_Statement__Lead,order
N2,order_trans_Concluding_Statement__Position,order
N2,order_trans_Concluding_Statement__Rebuttal,order
N2,order_trans_Counterclaim__Claim,order
N2,order_trans_Counterclaim__Concluding_Statement,order
N2,order_trans_Counterclaim__Counterclaim,order
N2,order_trans_Counterclaim__Evidence,order
N2,order_trans_Counterclaim__Lead,order
N2,order_trans_Counterclaim__Position,order
N2,order_trans_Counterclaim__Rebuttal,order
N2,order_trans_Evidence__Claim,order
N2,order_trans_Evidence__Concluding_Statement,order
N2,order_trans_Evidence__Counterclaim,order
N2,order_trans_Evidence__Evidence,order
N2,order_trans_Evidence__Lead,order
N2,order_trans_Evidence__Position,order
N2,order_trans_Evidence__Rebuttal,order
N2,order_trans_Lead__Claim,order
N2,order_trans_Lead__Concluding_Statement,order
N2,order_trans_Lead__Counterclaim,order
N2,order_trans_Lead__Evidence,order
N2,order_trans_Lead__Lead,order
N2,order_trans_Lead__Position,order
N2,order_trans_Lead__Rebuttal,order
N2,order_trans_Position__Claim,order
N2,order_trans_Position__Concluding_Statement,order
N2,order_trans_Position__Counterclaim,order
N2,order_trans_Position__Evidence,order
N2,order_trans_Position__Lead,order
N2,order_trans_Position__Position,order
N2,order_trans_Position__Rebuttal,order
N2,order_trans_Rebuttal__Claim,order
N2,order_trans_Rebuttal__Concluding_Statement,order
N2,order_trans_Rebuttal__Counterclaim,order
N2,order_trans_Rebuttal__Evidence,order
N2,order_trans_Rebuttal__Lead,order
N2,order_trans_Rebuttal__Position,order
N2,order_trans_Rebuttal__Rebuttal,order
N2,prop_Claim,count
N2,prop_Concluding_Statement,count
N2,prop_Counterclaim,count
N2,prop_Evidence,count
N2,prop_Lead,count
N2,prop_Position,count
N2,prop_Rebuttal,count
N2,surface_char_count,surface
N2,surface_mean_word_length,surface
N2,surface_paragraph_count,surface
N2,surface_sentence_count,surface
N2,surface_word_count,surface
T0,tfidf,text
T1,surface_char_count,surface
T1,surface_mean_word_length,surface
T1,surface_paragraph_count,surface
T1,surface_sentence_count,surface
T1,surface_word_count,surface
T1,tfidf,text
T2,count_Claim,count
T2,count_Concluding_Statement,count
T2,count_Counterclaim,count
T2,count_Evidence,count
T2,count_Lead,count
T2,count_Position,count
T2,count_Rebuttal,count
T2,count_annotation_coverage,count
T2,count_total_components,count
T2,count_total_segments,count
T2,count_unannotated_gaps,count
T2,count_unannotated_proportion,count
T2,prop_Claim,count
T2,prop_Concluding_Statement,count
T2,prop_Counterclaim,count
T2,prop_Evidence,count
T2,prop_Lead,count
T2,prop_Position,count
T2,prop_Rebuttal,count
T2,surface_char_count,surface
T2,surface_mean_word_length,surface
T2,surface_paragraph_count,surface
T2,surface_sentence_count,surface
T2,surface_word_count,surface
T2,tfidf,text
T3,count_Claim,count
T3,count_Concluding_Statement,count
T3,count_Counterclaim,count
T3,count_Evidence,count
T3,count_Lead,count
T3,count_Position,count
T3,count_Rebuttal,count
T3,count_annotation_coverage,count
T3,count_total_components,count
T3,count_total_segments,count
T3,count_unannotated_gaps,count
T3,count_unannotated_proportion,count
T3,order_final_is_Claim,order
T3,order_final_is_Concluding_Statement,order
T3,order_final_is_Counterclaim,order
T3,order_final_is_Evidence,order
T3,order_final_is_Lead,order
T3,order_final_is_Position,order
T3,order_final_is_Rebuttal,order
T3,order_final_pos_Claim,order
T3,order_final_pos_Concluding_Statement,order
T3,order_final_pos_Counterclaim,order
T3,order_final_pos_Evidence,order
T3,order_final_pos_Lead,order
T3,order_final_pos_Position,order
T3,order_final_pos_Rebuttal,order
T3,order_first_is_Claim,order
T3,order_first_is_Concluding_Statement,order
T3,order_first_is_Counterclaim,order
T3,order_first_is_Evidence,order
T3,order_first_is_Lead,order
T3,order_first_is_Position,order
T3,order_first_is_Rebuttal,order
T3,order_first_pos_Claim,order
T3,order_first_pos_Concluding_Statement,order
T3,order_first_pos_Counterclaim,order
T3,order_first_pos_Evidence,order
T3,order_first_pos_Lead,order
T3,order_first_pos_Position,order
T3,order_first_pos_Rebuttal,order
T3,order_mean_pos_Claim,order
T3,order_mean_pos_Concluding_Statement,order
T3,order_mean_pos_Counterclaim,order
T3,order_mean_pos_Evidence,order
T3,order_mean_pos_Lead,order
T3,order_mean_pos_Position,order
T3,order_mean_pos_Rebuttal,order
T3,order_std_pos_Claim,order
T3,order_std_pos_Concluding_Statement,order
T3,order_std_pos_Counterclaim,order
T3,order_std_pos_Evidence,order
T3,order_std_pos_Lead,order
T3,order_std_pos_Position,order
T3,order_std_pos_Rebuttal,order
T3,order_trans_Claim__Claim,order
T3,order_trans_Claim__Concluding_Statement,order
T3,order_trans_Claim__Counterclaim,order
T3,order_trans_Claim__Evidence,order
T3,order_trans_Claim__Lead,order
T3,order_trans_Claim__Position,order
T3,order_trans_Claim__Rebuttal,order
T3,order_trans_Concluding_Statement__Claim,order
T3,order_trans_Concluding_Statement__Concluding_Statement,order
T3,order_trans_Concluding_Statement__Counterclaim,order
T3,order_trans_Concluding_Statement__Evidence,order
T3,order_trans_Concluding_Statement__Lead,order
T3,order_trans_Concluding_Statement__Position,order
T3,order_trans_Concluding_Statement__Rebuttal,order
T3,order_trans_Counterclaim__Claim,order
T3,order_trans_Counterclaim__Concluding_Statement,order
T3,order_trans_Counterclaim__Counterclaim,order
T3,order_trans_Counterclaim__Evidence,order
T3,order_trans_Counterclaim__Lead,order
T3,order_trans_Counterclaim__Position,order
T3,order_trans_Counterclaim__Rebuttal,order
T3,order_trans_Evidence__Claim,order
T3,order_trans_Evidence__Concluding_Statement,order
T3,order_trans_Evidence__Counterclaim,order
T3,order_trans_Evidence__Evidence,order
T3,order_trans_Evidence__Lead,order
T3,order_trans_Evidence__Position,order
T3,order_trans_Evidence__Rebuttal,order
T3,order_trans_Lead__Claim,order
T3,order_trans_Lead__Concluding_Statement,order
T3,order_trans_Lead__Counterclaim,order
T3,order_trans_Lead__Evidence,order
T3,order_trans_Lead__Lead,order
T3,order_trans_Lead__Position,order
T3,order_trans_Lead__Rebuttal,order
T3,order_trans_Position__Claim,order
T3,order_trans_Position__Concluding_Statement,order
T3,order_trans_Position__Counterclaim,order
T3,order_trans_Position__Evidence,order
T3,order_trans_Position__Lead,order
T3,order_trans_Position__Position,order
T3,order_trans_Position__Rebuttal,order
T3,order_trans_Rebuttal__Claim,order
T3,order_trans_Rebuttal__Concluding_Statement,order
T3,order_trans_Rebuttal__Counterclaim,order
T3,order_trans_Rebuttal__Evidence,order
T3,order_trans_Rebuttal__Lead,order
T3,order_trans_Rebuttal__Position,order
T3,order_trans_Rebuttal__Rebuttal,order
T3,prop_Claim,count
T3,prop_Concluding_Statement,count
T3,prop_Counterclaim,count
T3,prop_Evidence,count
T3,prop_Lead,count
T3,prop_Position,count
T3,prop_Rebuttal,count
T3,surface_char_count,surface
T3,surface_mean_word_length,surface
T3,surface_paragraph_count,surface
T3,surface_sentence_count,surface
T3,surface_word_count,surface
T3,tfidf,text
NS_s13,count_Claim,count
NS_s13,count_Concluding_Statement,count
NS_s13,count_Counterclaim,count
NS_s13,count_Evidence,count
NS_s13,count_Lead,count
NS_s13,count_Position,count
NS_s13,count_Rebuttal,count
NS_s13,count_annotation_coverage,count
NS_s13,count_total_components,count
NS_s13,count_total_segments,count
NS_s13,count_unannotated_gaps,count
NS_s13,count_unannotated_proportion,count
NS_s13,order_final_is_Claim,order
NS_s13,order_final_is_Concluding_Statement,order
NS_s13,order_final_is_Counterclaim,order
NS_s13,order_final_is_Evidence,order
NS_s13,order_final_is_Lead,order
NS_s13,order_final_is_Position,order
NS_s13,order_final_is_Rebuttal,order
NS_s13,order_final_pos_Claim,order
NS_s13,order_final_pos_Concluding_Statement,order
NS_s13,order_final_pos_Counterclaim,order
NS_s13,order_final_pos_Evidence,order
NS_s13,order_final_pos_Lead,order
NS_s13,order_final_pos_Position,order
NS_s13,order_final_pos_Rebuttal,order
NS_s13,order_first_is_Claim,order
NS_s13,order_first_is_Concluding_Statement,order
NS_s13,order_first_is_Counterclaim,order
NS_s13,order_first_is_Evidence,order
NS_s13,order_first_is_Lead,order
NS_s13,order_first_is_Position,order
NS_s13,order_first_is_Rebuttal,order
NS_s13,order_first_pos_Claim,order
NS_s13,order_first_pos_Concluding_Statement,order
NS_s13,order_first_pos_Counterclaim,order
NS_s13,order_first_pos_Evidence,order
NS_s13,order_first_pos_Lead,order
NS_s13,order_first_pos_Position,order
NS_s13,order_first_pos_Rebuttal,order
NS_s13,order_mean_pos_Claim,order
NS_s13,order_mean_pos_Concluding_Statement,order
NS_s13,order_mean_pos_Counterclaim,order
NS_s13,order_mean_pos_Evidence,order
NS_s13,order_mean_pos_Lead,order
NS_s13,order_mean_pos_Position,order
NS_s13,order_mean_pos_Rebuttal,order
NS_s13,order_std_pos_Claim,order
NS_s13,order_std_pos_Concluding_Statement,order
NS_s13,order_std_pos_Counterclaim,order
NS_s13,order_std_pos_Evidence,order
NS_s13,order_std_pos_Lead,order
NS_s13,order_std_pos_Position,order
NS_s13,order_std_pos_Rebuttal,order
NS_s13,order_trans_Claim__Claim,order
NS_s13,order_trans_Claim__Concluding_Statement,order
NS_s13,order_trans_Claim__Counterclaim,order
NS_s13,order_trans_Claim__Evidence,order
NS_s13,order_trans_Claim__Lead,order
NS_s13,order_trans_Claim__Position,order
NS_s13,order_trans_Claim__Rebuttal,order
NS_s13,order_trans_Concluding_Statement__Claim,order
NS_s13,order_trans_Concluding_Statement__Concluding_Statement,order
NS_s13,order_trans_Concluding_Statement__Counterclaim,order
NS_s13,order_trans_Concluding_Statement__Evidence,order
NS_s13,order_trans_Concluding_Statement__Lead,order
NS_s13,order_trans_Concluding_Statement__Position,order
NS_s13,order_trans_Concluding_Statement__Rebuttal,order
NS_s13,order_trans_Counterclaim__Claim,order
NS_s13,order_trans_Counterclaim__Concluding_Statement,order
NS_s13,order_trans_Counterclaim__Counterclaim,order
NS_s13,order_trans_Counterclaim__Evidence,order
NS_s13,order_trans_Counterclaim__Lead,order
NS_s13,order_trans_Counterclaim__Position,order
NS_s13,order_trans_Counterclaim__Rebuttal,order
NS_s13,order_trans_Evidence__Claim,order
NS_s13,order_trans_Evidence__Concluding_Statement,order
NS_s13,order_trans_Evidence__Counterclaim,order
NS_s13,order_trans_Evidence__Evidence,order
NS_s13,order_trans_Evidence__Lead,order
NS_s13,order_trans_Evidence__Position,order
NS_s13,order_trans_Evidence__Rebuttal,order
NS_s13,order_trans_Lead__Claim,order
NS_s13,order_trans_Lead__Concluding_Statement,order
NS_s13,order_trans_Lead__Counterclaim,order
NS_s13,order_trans_Lead__Evidence,order
NS_s13,order_trans_Lead__Lead,order
NS_s13,order_trans_Lead__Position,order
NS_s13,order_trans_Lead__Rebuttal,order
NS_s13,order_trans_Position__Claim,order
NS_s13,order_trans_Position__Concluding_Statement,order
NS_s13,order_trans_Position__Counterclaim,order
NS_s13,order_trans_Position__Evidence,order
NS_s13,order_trans_Position__Lead,order
NS_s13,order_trans_Position__Position,order
NS_s13,order_trans_Position__Rebuttal,order
NS_s13,order_trans_Rebuttal__Claim,order
NS_s13,order_trans_Rebuttal__Concluding_Statement,order
NS_s13,order_trans_Rebuttal__Counterclaim,order
NS_s13,order_trans_Rebuttal__Evidence,order
NS_s13,order_trans_Rebuttal__Lead,order
NS_s13,order_trans_Rebuttal__Position,order
NS_s13,order_trans_Rebuttal__Rebuttal,order
NS_s13,prop_Claim,count
NS_s13,prop_Concluding_Statement,count
NS_s13,prop_Counterclaim,count
NS_s13,prop_Evidence,count
NS_s13,prop_Lead,count
NS_s13,prop_Position,count
NS_s13,prop_Rebuttal,count
NS_s13,surface_char_count,surface
NS_s13,surface_mean_word_length,surface
NS_s13,surface_paragraph_count,surface
NS_s13,surface_sentence_count,surface
NS_s13,surface_word_count,surface
TS_s13,count_Claim,count
TS_s13,count_Concluding_Statement,count
TS_s13,count_Counterclaim,count
TS_s13,count_Evidence,count
TS_s13,count_Lead,count
TS_s13,count_Position,count
TS_s13,count_Rebuttal,count
TS_s13,count_annotation_coverage,count
TS_s13,count_total_components,count
TS_s13,count_total_segments,count
TS_s13,count_unannotated_gaps,count
TS_s13,count_unannotated_proportion,count
TS_s13,order_final_is_Claim,order
TS_s13,order_final_is_Concluding_Statement,order
TS_s13,order_final_is_Counterclaim,order
TS_s13,order_final_is_Evidence,order
TS_s13,order_final_is_Lead,order
TS_s13,order_final_is_Position,order
TS_s13,order_final_is_Rebuttal,order
TS_s13,order_final_pos_Claim,order
TS_s13,order_final_pos_Concluding_Statement,order
TS_s13,order_final_pos_Counterclaim,order
TS_s13,order_final_pos_Evidence,order
TS_s13,order_final_pos_Lead,order
TS_s13,order_final_pos_Position,order
TS_s13,order_final_pos_Rebuttal,order
TS_s13,order_first_is_Claim,order
TS_s13,order_first_is_Concluding_Statement,order
TS_s13,order_first_is_Counterclaim,order
TS_s13,order_first_is_Evidence,order
TS_s13,order_first_is_Lead,order
TS_s13,order_first_is_Position,order
TS_s13,order_first_is_Rebuttal,order
TS_s13,order_first_pos_Claim,order
TS_s13,order_first_pos_Concluding_Statement,order
TS_s13,order_first_pos_Counterclaim,order
TS_s13,order_first_pos_Evidence,order
TS_s13,order_first_pos_Lead,order
TS_s13,order_first_pos_Position,order
TS_s13,order_first_pos_Rebuttal,order
TS_s13,order_mean_pos_Claim,order
TS_s13,order_mean_pos_Concluding_Statement,order
TS_s13,order_mean_pos_Counterclaim,order
TS_s13,order_mean_pos_Evidence,order
TS_s13,order_mean_pos_Lead,order
TS_s13,order_mean_pos_Position,order
TS_s13,order_mean_pos_Rebuttal,order
TS_s13,order_std_pos_Claim,order
TS_s13,order_std_pos_Concluding_Statement,order
TS_s13,order_std_pos_Counterclaim,order
TS_s13,order_std_pos_Evidence,order
TS_s13,order_std_pos_Lead,order
TS_s13,order_std_pos_Position,order
TS_s13,order_std_pos_Rebuttal,order
TS_s13,order_trans_Claim__Claim,order
TS_s13,order_trans_Claim__Concluding_Statement,order
TS_s13,order_trans_Claim__Counterclaim,order
TS_s13,order_trans_Claim__Evidence,order
TS_s13,order_trans_Claim__Lead,order
TS_s13,order_trans_Claim__Position,order
TS_s13,order_trans_Claim__Rebuttal,order
TS_s13,order_trans_Concluding_Statement__Claim,order
TS_s13,order_trans_Concluding_Statement__Concluding_Statement,order
TS_s13,order_trans_Concluding_Statement__Counterclaim,order
TS_s13,order_trans_Concluding_Statement__Evidence,order
TS_s13,order_trans_Concluding_Statement__Lead,order
TS_s13,order_trans_Concluding_Statement__Position,order
TS_s13,order_trans_Concluding_Statement__Rebuttal,order
TS_s13,order_trans_Counterclaim__Claim,order
TS_s13,order_trans_Counterclaim__Concluding_Statement,order
TS_s13,order_trans_Counterclaim__Counterclaim,order
TS_s13,order_trans_Counterclaim__Evidence,order
TS_s13,order_trans_Counterclaim__Lead,order
TS_s13,order_trans_Counterclaim__Position,order
TS_s13,order_trans_Counterclaim__Rebuttal,order
TS_s13,order_trans_Evidence__Claim,order
TS_s13,order_trans_Evidence__Concluding_Statement,order
TS_s13,order_trans_Evidence__Counterclaim,order
TS_s13,order_trans_Evidence__Evidence,order
TS_s13,order_trans_Evidence__Lead,order
TS_s13,order_trans_Evidence__Position,order
TS_s13,order_trans_Evidence__Rebuttal,order
TS_s13,order_trans_Lead__Claim,order
TS_s13,order_trans_Lead__Concluding_Statement,order
TS_s13,order_trans_Lead__Counterclaim,order
TS_s13,order_trans_Lead__Evidence,order
TS_s13,order_trans_Lead__Lead,order
TS_s13,order_trans_Lead__Position,order
TS_s13,order_trans_Lead__Rebuttal,order
TS_s13,order_trans_Position__Claim,order
TS_s13,order_trans_Position__Concluding_Statement,order
TS_s13,order_trans_Position__Counterclaim,order
TS_s13,order_trans_Position__Evidence,order
TS_s13,order_trans_Position__Lead,order
TS_s13,order_trans_Position__Position,order
TS_s13,order_trans_Position__Rebuttal,order
TS_s13,order_trans_Rebuttal__Claim,order
TS_s13,order_trans_Rebuttal__Concluding_Statement,order
TS_s13,order_trans_Rebuttal__Counterclaim,order
TS_s13,order_trans_Rebuttal__Evidence,order
TS_s13,order_trans_Rebuttal__Lead,order
TS_s13,order_trans_Rebuttal__Position,order
TS_s13,order_trans_Rebuttal__Rebuttal,order
TS_s13,prop_Claim,count
TS_s13,prop_Concluding_Statement,count
TS_s13,prop_Counterclaim,count
TS_s13,prop_Evidence,count
TS_s13,prop_Lead,count
TS_s13,prop_Position,count
TS_s13,prop_Rebuttal,count
TS_s13,surface_char_count,surface
TS_s13,surface_mean_word_length,surface
TS_s13,surface_paragraph_count,surface
TS_s13,surface_sentence_count,surface
TS_s13,surface_word_count,surface
TS_s13,tfidf,text
NS_s21,count_Claim,count
NS_s21,count_Concluding_Statement,count
NS_s21,count_Counterclaim,count
NS_s21,count_Evidence,count
NS_s21,count_Lead,count
NS_s21,count_Position,count
NS_s21,count_Rebuttal,count
NS_s21,count_annotation_coverage,count
NS_s21,count_total_components,count
NS_s21,count_total_segments,count
NS_s21,count_unannotated_gaps,count
NS_s21,count_unannotated_proportion,count
NS_s21,order_final_is_Claim,order
NS_s21,order_final_is_Concluding_Statement,order
NS_s21,order_final_is_Counterclaim,order
NS_s21,order_final_is_Evidence,order
NS_s21,order_final_is_Lead,order
NS_s21,order_final_is_Position,order
NS_s21,order_final_is_Rebuttal,order
NS_s21,order_final_pos_Claim,order
NS_s21,order_final_pos_Concluding_Statement,order
NS_s21,order_final_pos_Counterclaim,order
NS_s21,order_final_pos_Evidence,order
NS_s21,order_final_pos_Lead,order
NS_s21,order_final_pos_Position,order
NS_s21,order_final_pos_Rebuttal,order
NS_s21,order_first_is_Claim,order
NS_s21,order_first_is_Concluding_Statement,order
NS_s21,order_first_is_Counterclaim,order
NS_s21,order_first_is_Evidence,order
NS_s21,order_first_is_Lead,order
NS_s21,order_first_is_Position,order
NS_s21,order_first_is_Rebuttal,order
NS_s21,order_first_pos_Claim,order
NS_s21,order_first_pos_Concluding_Statement,order
NS_s21,order_first_pos_Counterclaim,order
NS_s21,order_first_pos_Evidence,order
NS_s21,order_first_pos_Lead,order
NS_s21,order_first_pos_Position,order
NS_s21,order_first_pos_Rebuttal,order
NS_s21,order_mean_pos_Claim,order
NS_s21,order_mean_pos_Concluding_Statement,order
NS_s21,order_mean_pos_Counterclaim,order
NS_s21,order_mean_pos_Evidence,order
NS_s21,order_mean_pos_Lead,order
NS_s21,order_mean_pos_Position,order
NS_s21,order_mean_pos_Rebuttal,order
NS_s21,order_std_pos_Claim,order
NS_s21,order_std_pos_Concluding_Statement,order
NS_s21,order_std_pos_Counterclaim,order
NS_s21,order_std_pos_Evidence,order
NS_s21,order_std_pos_Lead,order
NS_s21,order_std_pos_Position,order
NS_s21,order_std_pos_Rebuttal,order
NS_s21,order_trans_Claim__Claim,order
NS_s21,order_trans_Claim__Concluding_Statement,order
NS_s21,order_trans_Claim__Counterclaim,order
NS_s21,order_trans_Claim__Evidence,order
NS_s21,order_trans_Claim__Lead,order
NS_s21,order_trans_Claim__Position,order
NS_s21,order_trans_Claim__Rebuttal,order
NS_s21,order_trans_Concluding_Statement__Claim,order
NS_s21,order_trans_Concluding_Statement__Concluding_Statement,order
NS_s21,order_trans_Concluding_Statement__Counterclaim,order
NS_s21,order_trans_Concluding_Statement__Evidence,order
NS_s21,order_trans_Concluding_Statement__Lead,order
NS_s21,order_trans_Concluding_Statement__Position,order
NS_s21,order_trans_Concluding_Statement__Rebuttal,order
NS_s21,order_trans_Counterclaim__Claim,order
NS_s21,order_trans_Counterclaim__Concluding_Statement,order
NS_s21,order_trans_Counterclaim__Counterclaim,order
NS_s21,order_trans_Counterclaim__Evidence,order
NS_s21,order_trans_Counterclaim__Lead,order
NS_s21,order_trans_Counterclaim__Position,order
NS_s21,order_trans_Counterclaim__Rebuttal,order
NS_s21,order_trans_Evidence__Claim,order
NS_s21,order_trans_Evidence__Concluding_Statement,order
NS_s21,order_trans_Evidence__Counterclaim,order
NS_s21,order_trans_Evidence__Evidence,order
NS_s21,order_trans_Evidence__Lead,order
NS_s21,order_trans_Evidence__Position,order
NS_s21,order_trans_Evidence__Rebuttal,order
NS_s21,order_trans_Lead__Claim,order
NS_s21,order_trans_Lead__Concluding_Statement,order
NS_s21,order_trans_Lead__Counterclaim,order
NS_s21,order_trans_Lead__Evidence,order
NS_s21,order_trans_Lead__Lead,order
NS_s21,order_trans_Lead__Position,order
NS_s21,order_trans_Lead__Rebuttal,order
NS_s21,order_trans_Position__Claim,order
NS_s21,order_trans_Position__Concluding_Statement,order
NS_s21,order_trans_Position__Counterclaim,order
NS_s21,order_trans_Position__Evidence,order
NS_s21,order_trans_Position__Lead,order
NS_s21,order_trans_Position__Position,order
NS_s21,order_trans_Position__Rebuttal,order
NS_s21,order_trans_Rebuttal__Claim,order
NS_s21,order_trans_Rebuttal__Concluding_Statement,order
NS_s21,order_trans_Rebuttal__Counterclaim,order
NS_s21,order_trans_Rebuttal__Evidence,order
NS_s21,order_trans_Rebuttal__Lead,order
NS_s21,order_trans_Rebuttal__Position,order
NS_s21,order_trans_Rebuttal__Rebuttal,order
NS_s21,prop_Claim,count
NS_s21,prop_Concluding_Statement,count
NS_s21,prop_Counterclaim,count
NS_s21,prop_Evidence,count
NS_s21,prop_Lead,count
NS_s21,prop_Position,count
NS_s21,prop_Rebuttal,count
NS_s21,surface_char_count,surface
NS_s21,surface_mean_word_length,surface
NS_s21,surface_paragraph_count,surface
NS_s21,surface_sentence_count,surface
NS_s21,surface_word_count,surface
TS_s21,count_Claim,count
TS_s21,count_Concluding_Statement,count
TS_s21,count_Counterclaim,count
TS_s21,count_Evidence,count
TS_s21,count_Lead,count
TS_s21,count_Position,count
TS_s21,count_Rebuttal,count
TS_s21,count_annotation_coverage,count
TS_s21,count_total_components,count
TS_s21,count_total_segments,count
TS_s21,count_unannotated_gaps,count
TS_s21,count_unannotated_proportion,count
TS_s21,order_final_is_Claim,order
TS_s21,order_final_is_Concluding_Statement,order
TS_s21,order_final_is_Counterclaim,order
TS_s21,order_final_is_Evidence,order
TS_s21,order_final_is_Lead,order
TS_s21,order_final_is_Position,order
TS_s21,order_final_is_Rebuttal,order
TS_s21,order_final_pos_Claim,order
TS_s21,order_final_pos_Concluding_Statement,order
TS_s21,order_final_pos_Counterclaim,order
TS_s21,order_final_pos_Evidence,order
TS_s21,order_final_pos_Lead,order
TS_s21,order_final_pos_Position,order
TS_s21,order_final_pos_Rebuttal,order
TS_s21,order_first_is_Claim,order
TS_s21,order_first_is_Concluding_Statement,order
TS_s21,order_first_is_Counterclaim,order
TS_s21,order_first_is_Evidence,order
TS_s21,order_first_is_Lead,order
TS_s21,order_first_is_Position,order
TS_s21,order_first_is_Rebuttal,order
TS_s21,order_first_pos_Claim,order
TS_s21,order_first_pos_Concluding_Statement,order
TS_s21,order_first_pos_Counterclaim,order
TS_s21,order_first_pos_Evidence,order
TS_s21,order_first_pos_Lead,order
TS_s21,order_first_pos_Position,order
TS_s21,order_first_pos_Rebuttal,order
TS_s21,order_mean_pos_Claim,order
TS_s21,order_mean_pos_Concluding_Statement,order
TS_s21,order_mean_pos_Counterclaim,order
TS_s21,order_mean_pos_Evidence,order
TS_s21,order_mean_pos_Lead,order
TS_s21,order_mean_pos_Position,order
TS_s21,order_mean_pos_Rebuttal,order
TS_s21,order_std_pos_Claim,order
TS_s21,order_std_pos_Concluding_Statement,order
TS_s21,order_std_pos_Counterclaim,order
TS_s21,order_std_pos_Evidence,order
TS_s21,order_std_pos_Lead,order
TS_s21,order_std_pos_Position,order
TS_s21,order_std_pos_Rebuttal,order
TS_s21,order_trans_Claim__Claim,order
TS_s21,order_trans_Claim__Concluding_Statement,order
TS_s21,order_trans_Claim__Counterclaim,order
TS_s21,order_trans_Claim__Evidence,order
TS_s21,order_trans_Claim__Lead,order
TS_s21,order_trans_Claim__Position,order
TS_s21,order_trans_Claim__Rebuttal,order
TS_s21,order_trans_Concluding_Statement__Claim,order
TS_s21,order_trans_Concluding_Statement__Concluding_Statement,order
TS_s21,order_trans_Concluding_Statement__Counterclaim,order
TS_s21,order_trans_Concluding_Statement__Evidence,order
TS_s21,order_trans_Concluding_Statement__Lead,order
TS_s21,order_trans_Concluding_Statement__Position,order
TS_s21,order_trans_Concluding_Statement__Rebuttal,order
TS_s21,order_trans_Counterclaim__Claim,order
TS_s21,order_trans_Counterclaim__Concluding_Statement,order
TS_s21,order_trans_Counterclaim__Counterclaim,order
TS_s21,order_trans_Counterclaim__Evidence,order
TS_s21,order_trans_Counterclaim__Lead,order
TS_s21,order_trans_Counterclaim__Position,order
TS_s21,order_trans_Counterclaim__Rebuttal,order
TS_s21,order_trans_Evidence__Claim,order
